Name,Qty,Final Price- INR (USD),Link
Gateron EF Grayish,20,390 ($4.55) ,https://neomacro.in/products/gateron-ef-grayish
Genuine Cherry MX Plate Mount Stabilizers 2U      ,3,400 ($4.67),https://stackskb.com/store/genuine-cherry-mx-plate-mount-stabilizers-2u/
KeyKobo Jindo Keycap Set     ,1," 1,700 ($19.84)     ",https://neomacro.in/products/key-kobo-jindo-keycap-set?_pos=3&_sid=b1e2b9343&_ss=r&variant=48328446116118
Diode 1N4148 Through – Hole,100,169 ($1.97),https://amzn.in/d/j3eLvoh
EC11 Rotary Encoder,2,178 ($2.08),https://amzn.in/d/hVRxzij
M3 x 20mm Bolt,15,149 ($1.73),https://amzn.in/d/8GRQWAB
M3 Nuts,8,100 ($1.16),https://amzn.in/d/7UQtsm8
M3 x 5mm Heatset Insert,25,179 ($2.09),https://amzn.in/d/ixybuAc
PCB ,5,"2,282 ($26.63)",https://hc-cdn.hel1.your-objectstorage.com/s/v3/89f0525b4c6054e058b8a874a75b20654613c431_image.png
XIAO RP2040,1,"1,340 ($15.64) ",https://www.amazon.in/Microcontroller-Dual-Core-MicroPython-CircuitPython-Interfaces/dp/B09NNVNW7M/ref=sr_1_2_mod_primary_new?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-2
Top Case,1,Print Legion,
Bottom Case,1,Print Legion,
Middle Plate,1,Print Legion,
